date,time,datetime,pbl_stull_hgt,model_pbl
11/1/2020,12:00:00 AM,2020-11-01 00:00:00,159,
11/1/2020,12:00:00 PM,2020-11-01 12:00:00,1823,
11/2/2020,12:00:00 AM,2020-11-02 00:00:00,250,
11/2/2020,12:00:00 PM,2020-11-02 12:00:00,1905,
11/3/2020,12:00:00 AM,2020-11-03 00:00:00,185,
11/3/2020,12:00:00 PM,2020-11-03 12:00:00,1764,1987.59082
11/4/2020,12:00:00 AM,2020-11-04 00:00:00,168,75.59265
11/4/2020,12:00:00 PM,2020-11-04 12:00:00,431,1609.97534
11/5/2020,12:00:00 AM,2020-11-05 00:00:00,142,72.55289
11/5/2020,12:00:00 PM,2020-11-05 12:00:00,1736,1637.60486
11/6/2020,12:00:00 AM,2020-11-06 00:00:00,213,85.69685
11/6/2020,12:00:00 PM,2020-11-06 12:00:00,1576,1602.974
11/7/2020,12:00:00 AM,2020-11-07 00:00:00,159,109.5136
11/7/2020,12:00:00 PM,2020-11-07 12:00:00,1059,1296.01843
11/8/2020,12:00:00 AM,2020-11-08 00:00:00,150,75.23116
11/8/2020,12:00:00 PM,2020-11-08 12:00:00,777,1506.22351
11/9/2020,12:00:00 AM,2020-11-09 00:00:00,149,81.40547
11/9/2020,12:00:00 PM,2020-11-09 12:00:00,272,1186.43311
11/10/2020,12:00:00 AM,2020-11-10 00:00:00,149,81.57072
11/10/2020,12:00:00 PM,2020-11-10 12:00:00,1809,1596.81543
11/11/2020,12:00:00 AM,2020-11-11 00:00:00,158,88.94814
11/11/2020,12:00:00 PM,2020-11-11 12:00:00,,2020.5332
11/12/2020,12:00:00 AM,2020-11-12 00:00:00,167,87.75716
11/12/2020,12:00:00 PM,2020-11-12 12:00:00,2008,1970.53711
11/13/2020,12:00:00 AM,2020-11-13 00:00:00,194,80.03458
11/13/2020,12:00:00 PM,2020-11-13 12:00:00,1855,1919.77502
11/14/2020,12:00:00 AM,2020-11-14 00:00:00,158,85.48178
11/14/2020,12:00:00 PM,2020-11-14 12:00:00,126,1816.57507
11/15/2020,12:00:00 AM,2020-11-15 00:00:00,222,148.53624
11/15/2020,12:00:00 PM,2020-11-15 12:00:00,854,1366.59814
11/16/2020,12:00:00 AM,2020-11-16 00:00:00,140,556.32764
11/16/2020,12:00:00 PM,2020-11-16 12:00:00,805,1873.60425
11/17/2020,12:00:00 AM,2020-11-17 00:00:00,105,121.18604
11/17/2020,12:00:00 PM,2020-11-17 12:00:00,1508,1591.82666
11/18/2020,12:00:00 AM,2020-11-18 00:00:00,166,193.93076
11/18/2020,12:00:00 PM,2020-11-18 12:00:00,1114,1455.66956
11/19/2020,12:00:00 AM,2020-11-19 00:00:00,487,101.97439
11/19/2020,12:00:00 PM,2020-11-19 12:00:00,1458,1407.65796
11/20/2020,12:00:00 AM,2020-11-20 00:00:00,104,127.09023
11/20/2020,12:00:00 PM,2020-11-20 12:00:00,1348,1515.34375
11/21/2020,12:00:00 AM,2020-11-21 00:00:00,191,228.0769
11/21/2020,12:00:00 PM,2020-11-21 12:00:00,1409,1495.11243
11/22/2020,12:00:00 AM,2020-11-22 00:00:00,279,157.82053
11/22/2020,12:00:00 PM,2020-11-22 12:00:00,1203,1068.69348
11/23/2020,12:00:00 AM,2020-11-23 00:00:00,190,89.21364
11/23/2020,12:00:00 PM,2020-11-23 12:00:00,1266,1422.31421
11/24/2020,12:00:00 AM,2020-11-24 00:00:00,182,84.63427
11/24/2020,12:00:00 PM,2020-11-24 12:00:00,1255,1390.66992
11/25/2020,12:00:00 AM,2020-11-25 00:00:00,139,149.2626
11/25/2020,12:00:00 PM,2020-11-25 12:00:00,558,1062.75574
11/26/2020,12:00:00 AM,2020-11-26 00:00:00,166,192.07237
11/26/2020,12:00:00 PM,2020-11-26 12:00:00,1356,1557.5199
11/27/2020,12:00:00 AM,2020-11-27 00:00:00,227,201.58003
11/27/2020,12:00:00 PM,2020-11-27 12:00:00,1621,974.83167
11/28/2020,12:00:00 AM,2020-11-28 00:00:00,218,222.37088